Staat_ID;Industry_ID;2016:Q3;Industrie_Umsatz_Anteil
34;51;2506;5%
34;13;2108;4%
34;60;1826;4%
34;25;1780;3%
34;10;1376;3%
34;78;1249;2%
34;45;1242;2%
34;81;1038;2%
34;65;845;2%
34;64;535;1%
34;75;171;0%
34;69;151;0%
35;12;108892;17%
35;82;70084;11%
35;56;67946;11%
35;13;58097;9%
35;51;55803;9%
35;70;53885;9%
35;25;50796;8%
35;34;38022;6%
35;35;37150;6%
35;60;32558;5%
35;11;23821;4%
35;64;21952;3%
35;65;20420;3%
35;36;18976;3%
35;45;16072;3%
35;78;15258;2%
35;81;13734;2%
35;10;12552;2%
35;75;6799;1%
35;6;6468;1%
35;69;5204;1%
35;3;4434;1%
36;82;29127;16%
36;56;18349;10%
36;6;18074;10%
36;12;17520;10%
36;70;13443;7%
36;35;11322;6%
36;34;10173;6%
36;13;9759;5%
36;36;9534;5%
36;11;8457;5%
36;60;7904;4%
36;25;7761;4%
36;51;7194;4%
36;65;5807;3%
36;78;5344;3%
36;45;4366;2%
36;81;4099;2%
36;10;3742;2%
36;64;2350;1%
36;3;2177;1%
36;75;1372;1%
36;69;1029;1%
37;12;51177;22%
37;13;45316;20%
37;56;31674;14%
37;82;26828;12%
37;70;17908;8%
37;34;11927;5%
37;60;11884;5%
37;35;11086;5%
37;51;9785;4%
37;11;9219;4%
37;64;7901;3%
37;45;7185;3%
37;78;6634;3%
37;65;6279;3%
37;36;5998;3%
37;25;5861;3%
37;81;4857;2%
37;3;4205;2%
37;10;3188;1%
37;69;1813;1%
37;75;1717;1%
37;6;242;0%
38;56;89707;12%
38;12;84893;12%
38;82;71020;10%
38;70;69418;10%
38;60;53198;7%
38;51;46531;6%
38;45;45946;6%
38;25;43222;6%
38;13;41670;6%
38;34;41317;6%
38;35;37089;5%
38;11;31589;4%
38;64;24058;3%
38;36;22953;3%
38;65;18978;3%
38;81;16656;2%
38;78;16390;2%
38;69;15525;2%
38;6;13046;2%
38;10;12263;2%
38;75;8735;1%
38;3;4442;1%
39;3;(D);#WERT!
39;6;(D);#WERT!
39;56;9007;16%
39;82;7853;14%
39;70;5821;10%
39;51;5452;9%
39;12;4665;8%
39;34;3424;6%
39;35;3222;6%
39;60;3178;5%
39;13;2763;5%
39;11;2316;4%
39;64;2220;4%
39;78;2005;3%
39;25;1903;3%
39;65;1765;3%
39;69;1705;3%
39;45;1515;3%
39;81;1265;2%
39;36;913;2%
39;75;716;1%
39;10;620;1%
40;12;34318;16%
